"File","Issue"
".\services\towing.html","Broken relative/local link in towing.html: ../index.html"
".\services\towing.html","Broken relative/local link in towing.html: ../about.html"
".\services\towing.html","Broken relative/local link in towing.html: ../contact.html"
".\services\tyre-change.html","Broken relative/local link in tyre-change.html: ../assets/css/styles.css"
".\services\tyre-change.html","Broken relative/local link in tyre-change.html: ../index.html"
".\services\tyre-change.html","Broken relative/local link in tyre-change.html: ../about.html"
".\services\tyre-change.html","Broken relative/local link in tyre-change.html: ../contact.html"
".\_backup\20260307-171044-index.html","Missing WhatsApp conversion tracker"
".\_backup\20260307-171044-index.html","Missing call conversion tracker"
".\_backup\20260307-171045-404.html","Missing WhatsApp conversion tracker"
".\_backup\20260307-171045-404.html","Missing call conversion tracker"
".\_backup\20260307-171045-about.html","Missing WhatsApp conversion tracker"
".\_backup\20260307-171045-about.html","Missing call conversion tracker"
".\_backup\20260307-171045-about.html","Broken relative/local link in 20260307-171045-about.html: index_fixed.html"
".\_backup\20260307-171045-about.html","Broken relative/local link in 20260307-171045-about.html: services_index.html"
".\_backup\20260307-171045-contact.html","Missing WhatsApp conversion tracker"
".\_backup\20260307-171045-contact.html","Missing call conversion tracker"
".\_backup\20260307-171045-contact.html","Broken relative/local link in 20260307-171045-contact.html: index_fixed.html"
".\_backup\20260307-171045-contact.html","Broken relative/local link in 20260307-171045-contact.html: services_index.html"
".\about.html","Broken relative/local link in about.html: index_fixed.html"
".\about.html","Broken relative/local link in about.html: services_index.html"
".\contact.html","Broken relative/local link in contact.html: index_fixed.html"
".\contact.html","Broken relative/local link in contact.html: services_index.html"
